Date,Customer_ID,Transaction_ID,SKU_Category,SKU,Quantity,Sales_Amount,Month,DayOfWeek,is_outlier
2016-01-02,2547,1,X52,0EM7L,1.0,3.13,2016-01,Saturday,False
2016-01-02,822,2,2ML,68BRQ,1.0,5.46,2016-01,Saturday,False
2016-01-02,3686,3,0H2,CZUZX,1.0,6.35,2016-01,Saturday,False
2016-01-02,3719,4,0H2,549KK,1.0,5.59,2016-01,Saturday,False
2016-01-02,9200,5,0H2,K8EHH,1.0,6.88,2016-01,Saturday,False
2016-01-02,5010,6,JPI,GVBRC,1.0,10.77,2016-01,Saturday,False
2016-01-02,1666,7,XG4,AHAE7,1.0,3.65,2016-01,Saturday,False
2016-01-02,1666,7,FEW,AHZNS,1.0,8.21,2016-01,Saturday,False
2016-01-02,1253,8,0H2,9STQJ,1.0,8.25,2016-01,Saturday,False
2016-01-02,5541,9,N5F,7IE9S,1.0,8.18,2016-01,Saturday,False
2016-01-02,5541,9,H8O,M15RG,1.0,6.35,2016-01,Saturday,False
2016-01-02,7548,10,N8U,UNJKW,1.0,2.11,2016-01,Saturday,False
2016-01-02,7548,10,JR5,KWDJZ,1.0,5.38,2016-01,Saturday,False
2016-01-02,6865,11,I4Y,8ETY5,1.0,8.04,2016-01,Saturday,False
2016-01-02,6044,12,N8U,EMJ1S,1.0,3.62,2016-01,Saturday,False
2016-01-02,6044,12,X52,CRK31,1.0,3.96,2016-01,Saturday,False
2016-01-02,592,13,YMJ,YJTMP,1.0,11.65,2016-01,Saturday,False
2016-01-02,592,13,P42,B2IW9,1.0,9.0,2016-01,Saturday,False
2016-01-02,6450,14,N8U,4A2M0,1.0,7.02,2016-01,Saturday,False
2016-01-02,3874,15,FEW,F79YP,1.0,16.91,2016-01,Saturday,False
2016-01-02,3874,15,SFC,26XOE,2.0,4.75,2016-01,Saturday,False
2016-01-02,5599,16,7C6,0ZEQ8,1.0,7.85,2016-01,Saturday,False
2016-01-02,5599,16,OQA,DWJC4,1.0,12.87,2016-01,Saturday,False
2016-01-02,9223,17,TW8,E63V3,1.0,1.62,2016-01,Saturday,False
2016-01-02,9223,17,Q4N,EGB8E,1.0,10.5,2016-01,Saturday,False
2016-01-02,4921,18,H15,NEYQ4,1.0,3.75,2016-01,Saturday,False
2016-01-02,6294,19,N5F,4PLF3,1.0,2.91,2016-01,Saturday,False
2016-01-02,6294,19,F9B,W9RKF,1.0,7.9,2016-01,Saturday,False
2016-01-02,6294,19,C8Z,520UE,1.0,9.06,2016-01,Saturday,False
2016-01-02,5780,20,BR0,NIXNF,1.0,22.25,2016-01,Saturday,False
2016-01-02,2116,21,X52,T5V5W,1.0,7.02,2016-01,Saturday,False
2016-01-02,2116,21,2ML,3483Q,1.0,7.29,2016-01,Saturday,False
2016-01-02,3624,22,P42,W22UD,1.0,5.87,2016-01,Saturday,False
2016-01-02,1253,23,R6E,YIM6C,1.0,8.65,2016-01,Saturday,False
2016-01-02,1253,23,LIB,8D73U,1.0,13.1,2016-01,Saturday,False
2016-01-02,1253,23,N8U,EMJ1S,1.0,3.62,2016-01,Saturday,False
2016-01-02,1253,23,R6E,F90L2,1.0,2.31,2016-01,Saturday,False
2016-01-02,5058,24,OXH,DPAB1,1.0,23.61,2016-01,Saturday,False
2016-01-02,4736,25,X52,T5V5W,1.0,7.02,2016-01,Saturday,False
2016-01-02,4736,25,29A,RBNO8,1.0,10.02,2016-01,Saturday,False
2016-01-02,4736,25,P42,RVZ6I,1.0,6.69,2016-01,Saturday,False
2016-01-02,3071,26,FZT,GJUAD,1.0,4.91,2016-01,Saturday,False
2016-01-02,3071,26,N8U,UNJKW,2.0,4.23,2016-01,Saturday,False
2016-01-02,2065,27,T80,LP9DJ,1.0,6.63,2016-01,Saturday,False
2016-01-02,8566,28,SFC,XHB4M,1.0,2.13,2016-01,Saturday,False
2016-01-02,8303,29,FEW,QWSWG,1.0,5.12,2016-01,Saturday,False
2016-01-02,4776,30,YMJ,3CUG7,1.0,5.38,2016-01,Saturday,False
2016-01-02,6459,31,EPM,DFPBD,1.0,1.5,2016-01,Saturday,False
2016-01-02,6459,31,JKC,0TLU5,2.0,2.13,2016-01,Saturday,False
2016-01-02,2546,32,O38,O1RNE,1.0,3.63,2016-01,Saturday,False
2016-01-02,1595,33,Z4O,82JKU,1.0,2.0,2016-01,Saturday,False
2016-01-02,4022,34,0H2,CZUZX,1.0,6.35,2016-01,Saturday,False
2016-01-02,4022,34,0H2,LQ555,1.0,7.57,2016-01,Saturday,False
2016-01-02,2438,35,P42,5Y2V7,1.0,4.57,2016-01,Saturday,False
2016-01-02,2438,35,R6E,F64H7,1.0,2.86,2016-01,Saturday,False
2016-01-02,6179,36,QV7,FZM7U,1.0,8.62,2016-01,Saturday,False
2016-01-02,6179,36,JPI,D80TK,1.0,1.98,2016-01,Saturday,False
2016-01-02,4316,37,XG4,IQNBU,1.0,6.35,2016-01,Saturday,False
2016-01-02,4316,37,N8U,COWU2,1.0,4.43,2016-01,Saturday,False
2016-01-02,3391,38,QCG,E7DJL,1.0,5.32,2016-01,Saturday,False
2016-01-02,1655,39,OBD,RZW8B,1.0,26.57,2016-01,Saturday,False
2016-01-02,1655,39,JI5,4TTS2,1.0,6.9,2016-01,Saturday,False
2016-01-02,1655,39,N5F,AEKO3,1.0,18.63,2016-01,Saturday,False
2016-01-02,3883,40,H15,CERTN,1.0,6.4,2016-01,Saturday,False
2016-01-02,3883,40,N8U,ZDSYK,1.0,1.71,2016-01,Saturday,False
2016-01-02,3883,40,R6E,F64H7,1.0,2.86,2016-01,Saturday,False
2016-01-02,3883,41,N8U,I36F2,1.0,4.23,2016-01,Saturday,False
2016-01-02,6797,42,R6E,F90L2,1.0,2.31,2016-01,Saturday,False
2016-01-02,8521,43,P42,OV1P9,1.0,5.73,2016-01,Saturday,False
2016-01-02,2476,44,H15,4D1NN,1.0,6.62,2016-01,Saturday,False
2016-01-02,824,45,Z4O,GID11,1.0,30.0,2016-01,Saturday,False
2016-01-02,3785,46,FU5,6DCYD,1.0,7.32,2016-01,Saturday,False
2016-01-02,3785,46,8HU,20XCP,1.0,15.83,2016-01,Saturday,False
2016-01-02,1098,47,FEW,JJ9FT,1.0,5.79,2016-01,Saturday,False
